"LSOA21CD","RGN23NM","BSC_Blue_withgaps_withLondon","BSC_Blue_withgaps_noLondon","BSC_Blue_nogaps_withLondon","BSC_Blue_nogaps_noLondon","BSC_BlueProximate_withgaps_withLondon","BSC_BlueProximate_withgaps_noLondon","BSC_BlueProximate_nogaps_withLondon","BSC_BlueProximate_nogaps_noLondon","BGC_Blue_withgaps_withLondon","BGC_Blue_withgaps_noLondon","BGC_Blue_nogaps_withLondon","BGC_Blue_nogaps_noLondon","BGC_BlueProximate_withgaps_withLondon","BGC_BlueProximate_withgaps_noLondon","BGC_BlueProximate_nogaps_withLondon","BGC_BlueProximate_nogaps_noLondon"
"E01000001","London",0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
"E01000002","London",0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
"E01000003","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000005","London",0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
"E01000006","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000007","London",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"E01000008","London",0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
"E01000009","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000011","London",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"E01000012","London",0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
"E01000013","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000014","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000015","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000016","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000017","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000018","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000019","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000020","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000021","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000022","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000024","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000025","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000027","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000028","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000029","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000030","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000031","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000032","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000033","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000034","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000035","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000036","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000037","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000038","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000039","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000040","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000041","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000042","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000043","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000044","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000045","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000046","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000049","London",0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
"E01000050","London",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"E01000051","London",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"E01000052","London",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"E01000053","London",0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
"E01000054","London",0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
"E01000055","London",0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
"E01000056","London",0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
"E01000057","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000058","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000059","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000060","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000061","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000062","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000063","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01000064","London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
